City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Mazyr,BY,52.0495,29.2456,51.84,98,100,4.92,overcast clouds
323,Grand Gaube,MU,-20.0064,57.6608,73.38,71,35,5.01,scattered clouds
324,Skagen,DK,57.7209,10.5839,53.67,91,24,21.97,few clouds
325,Iringa,TZ,-7.7667,35.7,61.39,64,88,5.28,overcast clouds
326,Porto Novo,BJ,6.4965,2.6036,76.82,84,100,5.37,overcast clouds
327,Bentiu,SS,9.2333,29.8333,73.81,50,21,3.71,few clouds
328,Geraldton,AU,-28.7667,114.6,48.61,87,0,5.75,clear sky
329,Damavand,IR,35.7178,52.065,50.04,49,50,3.18,scattered clouds
330,Matay,EG,28.419,30.7792,69.85,64,13,5.97,few clouds
331,Libertador General San Martin,AR,-23.8064,-64.7876,96.31,26,2,10.09,clear sky
332,Nacala,MZ,-14.5428,40.6728,74.21,88,25,11.79,scattered clouds
333,Benghazi,LY,32.1167,20.0667,72.32,76,0,11.63,clear sky
334,Jodhpur,IN,26.2867,73.03,74.19,36,0,9.4,clear sky
335,Dondo,MZ,-19.6094,34.7431,76.51,91,18,1.48,few clouds
336,Gat,IL,31.61,34.7642,79.48,39,0,6.31,clear sky
337,Monki,PL,53.405,22.7979,53.67,95,71,5.35,broken clouds
338,Tambo,PE,-14.8,-73.9167,44.94,26,3,13.15,clear sky
339,Vila Praia De Ancora,PT,41.811,-8.8526,68.72,90,43,18.45,scattered clouds
340,Zaysan,KZ,47.4667,84.8667,36.57,49,52,2.33,broken clouds
341,Uporovo,RU,56.3109,66.2693,31.95,77,100,5.17,overcast clouds
342,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,86.0,36,0,8.28,clear sky
343,Yangambi,CD,0.8102,24.4336,70.16,98,86,2.44,light rain
344,Angoche,MZ,-16.2325,39.9086,75.38,74,44,13.42,scattered clouds
345,Touros,BR,-5.1989,-35.4608,78.15,76,55,14.83,broken clouds
346,Cockburn Town,TC,21.4612,-71.1419,80.19,71,100,3.13,light rain
347,Iskilip,TR,40.7353,34.4739,52.65,54,18,1.63,few clouds
348,Roros,NO,62.5747,11.3842,37.24,100,100,2.3,overcast clouds
349,Donskoye,RU,45.4552,41.9741,46.53,61,42,7.23,scattered clouds
350,Cuxhaven,DE,53.8718,8.6909,53.8,87,75,6.91,broken clouds
351,Rio Bueno,CL,-40.3167,-72.9667,60.94,69,87,6.49,overcast clouds
352,Dossor,KZ,47.5272,52.9811,42.82,67,31,14.63,scattered clouds
353,Trinidad,BO,-14.8333,-64.9,91.38,62,75,6.91,broken clouds
354,Chapaevsk,RU,52.9813,49.7112,35.31,84,88,6.15,overcast clouds
355,Zarechye,RU,48.7786,132.9106,32.45,76,92,3.53,overcast clouds
356,Menongue,AO,-14.6585,17.691,64.81,87,96,2.91,overcast clouds
357,Port Said,EG,31.2565,32.2841,75.18,94,40,9.22,scattered clouds
358,Karpogory,RU,64.0019,44.4451,29.48,96,22,5.17,few clouds
359,Axim,GH,4.8699,-2.2405,77.95,86,68,4.85,light rain
360,Mweka,CD,-4.85,21.5667,70.7,86,93,2.51,overcast clouds
361,Natal,BR,-5.795,-35.2094,81.25,78,20,12.66,few clouds
362,Jardim,BR,-21.4803,-56.1381,79.7,46,0,4.47,clear sky
363,Artvin,TR,41.1667,41.8333,50.09,70,73,3.62,broken clouds
364,La Libertad,EC,-2.2333,-80.9,69.57,81,86,12.08,overcast clouds
365,Gobabis,NA,-22.45,18.9667,78.51,15,95,14.23,overcast clouds
366,Dutlwe,BW,-23.9833,23.9,81.1,28,93,3.85,overcast clouds
367,Bengkulu,ID,-3.8004,102.2655,73.99,93,100,5.21,moderate rain
368,Sayat,TM,38.7839,63.8803,51.67,74,0,5.39,clear sky
369,Kalety,PL,50.5627,18.8926,52.32,100,2,3.44,fog
370,Tulnici,RO,45.9167,26.6667,55.98,84,98,4.56,overcast clouds
371,Tahoua,NE,14.8888,5.2692,83.23,22,66,8.66,broken clouds
372,Khvoynaya,RU,58.9,34.5333,33.17,86,95,7.78,light snow
373,Abonnema,NG,4.7084,6.7931,76.98,91,98,4.27,overcast clouds
374,Torbat-E Jam,IR,35.244,60.6225,55.29,80,37,2.44,scattered clouds
375,Druzhba,UA,52.0428,33.9453,47.55,98,100,8.66,moderate rain
376,Dhidhdhoo,MV,6.8833,73.1,80.24,78,61,4.09,broken clouds
377,Port-Gentil,GA,-0.7193,8.7815,78.76,89,40,5.75,thunderstorm
378,Clarence Town,AU,-32.5833,151.7833,73.94,65,91,10.09,overcast clouds
379,Gumdag,TM,39.2061,54.5906,57.67,60,0,3.11,clear sky
380,Doba,TD,8.65,16.85,73.69,55,90,2.59,overcast clouds
381,San Andres,CO,12.5847,-81.7006,86.02,70,75,4.61,broken clouds
382,Torata,PE,-17.0769,-70.8433,62.64,33,6,6.58,clear sky
383,Andenes,NO,69.3143,16.1194,33.93,86,0,6.91,clear sky
384,Mongu,ZM,-15.2484,23.1274,77.45,35,65,4.61,broken clouds
385,Alma,CA,48.5501,-71.6491,60.93,84,100,4.34,overcast clouds
386,Kastamonu,TR,41.5,33.6667,47.41,55,9,1.19,clear sky
387,Hopkinsville,US,36.8656,-87.4886,66.24,80,93,14.9,overcast clouds
388,Mehamn,NO,71.0357,27.8492,33.75,75,0,10.36,clear sky
389,Barra Da Estiva,BR,-13.6261,-41.3269,66.42,89,86,4.92,overcast clouds
390,Qasigiannguit,GL,68.8193,-51.1922,26.85,97,100,8.79,light snow
391,Kuryk,KZ,43.2,51.65,53.91,66,97,11.74,overcast clouds
392,Ciochina,RO,44.5833,27.0667,62.83,71,68,10.22,broken clouds
393,Bloemhof,ZA,-27.6469,25.607,70.74,13,100,8.01,overcast clouds
394,Nantucket,US,41.2835,-70.0995,69.91,92,75,10.36,broken clouds
395,Mgandu,TZ,-5.95,34.1333,69.04,48,54,8.88,broken clouds
396,Marsabit,KE,2.3284,37.9899,70.45,58,73,16.71,broken clouds
397,Obzor,BG,42.8167,27.8833,68.27,58,86,6.8,overcast clouds
398,Youkounkoun,GN,12.5333,-13.1333,78.42,65,59,2.46,broken clouds
399,Chimoio,MZ,-19.1164,33.4833,71.46,88,0,1.92,clear sky
400,Calabozo,VE,8.9242,-67.4293,81.82,74,99,4.54,overcast clouds
401,Acari,PE,-15.4311,-74.6158,69.94,63,6,8.25,clear sky
402,Miraflores,MX,19.2167,-98.8083,80.98,67,99,4.38,light rain
403,Turka,UA,49.1541,23.0297,48.15,94,85,2.55,overcast clouds
404,Trincomalee,LK,8.5711,81.2335,78.96,78,25,2.64,light rain
